Meeting Name,Meeting Key,Meeting Description,Grade,Semester,Agenda Item Key,Agenda Item Title,Dont Create With Roadmap,Agenda Item Counselor Instructions,Meeting Counselor Instructions,Task Key,Task Name,Task Description,Task Type,Task User Type,Form,Repeats,Content
Application Check-in Meetings (ad hoc),transfer-application-check-in-meetings-ad-hoc,"With strategic decisions complete, our work shifts to managing the application timeline, setting small, achievable goals, and bringing perspective to the process.  ",,,transfer-assign-new-applications,Assign new applications,,,,transfer Work on assigned applications,Work on assigned applications,,post,student,,,How to open and start the Coalition application. How to open and start the UC application. How to open and start the Apply Texas application. How to open and start the Cal State application. Apply Texas Guide.
Application Check-in Meetings (ad hoc),transfer-application-check-in-meetings-ad-hoc,"With strategic decisions complete, our work shifts to managing the application timeline, setting small, achievable goals, and bringing perspective to the process.  ",,,transfer-assign-new-applications,Assign new applications,,,,transfer Share the Apply Texas Guide,Share the Apply Texas Guide,,post,student,,,How to open and start the Coalition application. How to open and start the UC application. How to open and start the Apply Texas application. How to open and start the Cal State application. Apply Texas Guide.
Application Check-in Meetings (ad hoc),transfer-application-check-in-meetings-ad-hoc,,,,transfer-brainstorm-supplement-essays,Brainstorm supplement essays,,Brainstorm and outline supplement essays for the colleges listed,,transfer Watch Supplement Essay: Overview,Watch Supplement Essay: Overview,,pre,student,,,Supplement Essay: Overview. Supplement Essay: Why this Major? Supplement Essay: Why this School? Supplement Essay: University of California: Personal Insight Questions.
Application Check-in Meetings (ad hoc),transfer-application-check-in-meetings-ad-hoc,,,,transfer-brainstorm-supplement-essays,Brainstorm supplement essays,,Brainstorm and outline supplement essays for the colleges listed,,transfer Watch Supplement Essay: Why this Major?,Watch Supplement Essay: Why this Major?,,pre,student,,,Supplement Essay: Overview. Supplement Essay: Why this Major? Supplement Essay: Why this School? Supplement Essay: University of California: Personal Insight Questions.
Application Check-in Meetings (ad hoc),transfer-application-check-in-meetings-ad-hoc,,,,transfer-brainstorm-supplement-essays,Brainstorm supplement essays,,Brainstorm and outline supplement essays for the colleges listed,,transfer Watch Supplement Essay: Why this School?,Watch Supplement Essay: Why this School?,,pre,student,,,Supplement Essay: Overview. Supplement Essay: Why this Major? Supplement Essay: Why this School? Supplement Essay: University of California: Personal Insight Questions.
Application Check-in Meetings (ad hoc),transfer-application-check-in-meetings-ad-hoc,,,,transfer-brainstorm-supplement-essays,Brainstorm supplement essays,,Brainstorm and outline supplement essays for the colleges listed,,transfer Watch Supplement Essay: University of California: Personal Insight Questions,Watch Supplement Essay: University of California: Personal Insight Questions,,pre,student,,,Supplement Essay: Overview. Supplement Essay: Why this Major? Supplement Essay: Why this School? Supplement Essay: University of California: Personal Insight Questions.
Application Check-in Meetings (ad hoc),transfer-application-check-in-meetings-ad-hoc,,,,transfer-brainstorm-supplement-essays,Brainstorm supplement essays,,Brainstorm and outline supplement essays for the colleges listed,,transfer Write the first draft of each essay,Write the first draft of each essay,,post,student,,,Supplement Essay: Overview. Supplement Essay: Why this Major? Supplement Essay: Why this School? Supplement Essay: University of California: Personal Insight Questions.
Application Check-in Meetings (ad hoc),transfer-application-check-in-meetings-ad-hoc,,,,transfer-transcripts,Transcripts,,Confirm which colleges need transcripts and method for sending. ,,transfer Send transcripts for the schools listed,Send transcripts for the schools listed,,post,student,,,Tutorials on how to send transcripts
Application Check-in Meetings (ad hoc),transfer-application-check-in-meetings-ad-hoc,,,,transfer-test-scores,Test Scores,,Discuss what test scores need to be sent to each school on the list (if applicable),,transfer Send the test scores listed to the schools listed,Send the test scores listed to the schools listed,,post,student,,,Tutorial on how to send test scores
Application Check-in Meetings (ad hoc),transfer-application-check-in-meetings-ad-hoc,,,,transfer-letters-of-recommendatoin,Letters of Recommendatoin,,Check in on status of letters of recommendation,,transfer Confirm letters of recommendation have been sent to all schools,Confirm letters of recommendation have been sent to all schools,,post,student,,,How to write a thank you note guide.
Application Check-in Meetings (ad hoc),transfer-application-check-in-meetings-ad-hoc,,,,transfer-letters-of-recommendatoin,Letters of Recommendatoin,,Check in on status of letters of recommendation,,transfer Send thank you notes to your recommenders once the letters are sent,Send thank you notes to your recommenders once the letters are sent,,post,student,,,How to write a thank you note guide.
Application Check-in Meetings (ad hoc),transfer-application-check-in-meetings-ad-hoc,,,,transfer-interview-process,Interview Process,,"Share out information on interview process. If you would like additional support, we can discuss what that would look like.",,transfer Utilize the interview tracking information to track your interviews if needed,Utilize the interview tracking information to track your interviews if needed,,post,student,,,How to have a great interview.
Application Check-in Meetings (ad hoc),transfer-application-check-in-meetings-ad-hoc,,,,transfer-submit-applications,Submit Applications,,1. Walk through how to submit                       2. Submit first application,,transfer Submit application for the school listed!,Submit application for the school listed!,,post,student,,,
Application Check-in Meetings (ad hoc),transfer-application-check-in-meetings-ad-hoc,,,,transfer-financial-aid,Financial Aid,,Share out information on financial aid deadlines. Remind families to submit FAFSA and CSS Profile,,,,,,,,,
Application Check-in Meetings (ad hoc),transfer-application-check-in-meetings-ad-hoc,,,,transfer-college-visits,College Visits,,Plan any additional visits that are necessary,,,,,,,,,
Application Check-in Meetings (ad hoc),transfer-application-check-in-meetings-ad-hoc,,,,transfer-demonstrate-interest,Demonstrate Interest,,Continue demonstrating interest by attending events and engaging with the schools on the final list.,,,,,,,,,
